183;xml-id;auswahl;sender-1;sender-2;recipient-1;recipient-2;sender-placeName;recipient-placeName;date-cert;date-when;date-from;date-to;date-notBefore;date-notAfter;incipit;Handschrift- oder Abschriftennachweis;Umfang;Drucknachweis
;ed_ccz_gfg_3mb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;Traunstein;La Cava;high;1881-08-03;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Franz Rühl;;Traunstein;Neukirchen;high;1881-08-05;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Franz Rühl, S 2606, 52;1 Dbl., 8°, 4 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 457–458
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;Traunstein;Ottmachau;high;1881-08-07;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 3 S.;
n;;UN;Ferdinand Gregorovius;;Charlotte Boretius;;Traunstein;Berchtesgaden;high;1881-08-12;;;;;;;;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Mit Briefen an Cotta, Franz Rühl und andere. Stuttgart, Berlin 1921. S. 459–460
n;ed_tfs_xyx_znb;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Traunstein;Leipzig;high;1881-08-14;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 226;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-09-01;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 227;1 Dbl., 8°, 1 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1881-09-01;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 352;1 Dbl., 8°, 3 ½ S.;
;;UN;Ferdinand Gregorovius;;Unbekannt (Herr);;München;Athen;high;1881-09-01;;;;;[über das Schicksal der Familie des verstorbenen Athener Konsuls und Verlegers Karl Wilberg];H: Kotte Autographs, Bestandsnummer 22254 (Stand 2012);1 Dbl., 8°, 3 S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1881-09-02;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch I, 660;;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1881-09-04;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 353;1 Bl., 8°, 1 S.;
n;ed_ydj_pwd_14b;ED;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-09-11;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 228 + 229 (Honorarquittung);1 Dbl., 8°, 3 ¾ S. + 1 Bl., 12°-quer, ¾ S.;
n;ed_k12_brf_14b;ED;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-09-15;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 230;1 Dbl., 8°, 3 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Ottmachau;high;1881-09-21;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 12°, 2 ½ S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1881-09-25;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 231;1 Dbl., 8°, 2 ½ S.;
n;ed_h14_j2d_hmb;ED;Ferdinand Gregorovius;;Conte Giovanni Gozzadini;;München;Bologna;high;1881-10-01;;;;;;;;D1: Giovanni Gozzadini: Maria Teresa di Serego-Allighieri Gozzadini. Bologna: E. Fava e Garagnani 1882. S. 474 (gekürzt) – D2: Giovanni Gozzadini: Maria Teresa di Serego-Allighieri Gozzadini. Seconda edizione ampliata con prefazione di Giosuè Carducci. Bologna: Nicola Zanichelli 1884. S. 642
n;ed_ijn_fdk_hmb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Turin;high;1881-10-02;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 105–106
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1881-10-02;;;;;;H: GSA Weimar, 96/937, 59;1 Dbl., 8°, 4 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 126–128 (gekürzt)
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-10-05;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 232;1 Dbl., 8°, 1 ¾ S.;
;;UN;Conte Giovanni Gozzadini;;Ferdinand Gregorovius;;Bologna;München;high;1881-10-06;;;;;;K: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 19, fasc. 42, 1;1 Bl., 8°, 1 S.;
n;ed_rbw_ns5_3mb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Rom;high;1881-10-09;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 3 ¼ S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-10-16;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 233;1 Dbl., 8°, ¾ S.;
;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-10-19;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 234;1 Dbl., 8°, 3 S.;
n;ed_nsq_t5y_vnb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Rom;high;1881-10-23;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1881-10-27;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 235;1 Dbl., 8°, 3 ½ S.;
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Ottmachau;high;1881-10-28;;;;;;H: Biblioteka Jagiellońska Krakau;1 Bl., 8°, 2 S.;
n;;UN;F. A. Brockhaus Verlag;;Ferdinand Gregorovius;;Leipzig;München;high;1881-11-05;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus, 2;1 Dbl., 8°, 2 ½ S. (von Schreiberhand m. eigh. Unterschrift);
n;;UN;Ferdinand Gregorovius;;Berthold Auerbach;;München;Cannstatt;high;1881-11-06;;;;;;H: Monacensia im Hildebrandhaus, Gregorovius, Ferdinand A I/1;VK, 2 S.;
;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Ottmachau;high;1881-11-06;;;;;;H: Biblioteka Jagiellońska Krakau;1 Bl., 8°, 2 S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-11-08;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 236;1 Dbl., 8°, 2 ¼ S.;
n;;UN;F. A. Brockhaus Verlag;;Ferdinand Gregorovius;;Leipzig;München;high;1881-11-09;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus 3;1 Dbl., 8°, 2 ¼ S. (von Schreiberhand m. eigh. Unterschrift);
n;ed_jpf_pxg_wnb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Rom;high;1881-11-09;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 12°, 3 ¾ S.;
;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-11-11;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 237;1 Dbl., 8°, 2 ¾ S.;
n;ed_lbp_cf1_wnb;ED;Ferdinand Gregorovius;;Raffaele Ambrosi de Magistris;;München;Rom;high;1881-11-13;;;;;;H: BSB München, Autogr., Gregorovius, Ferdinand, 13;1 Dbl., 8°, 4 S. + Umschlag;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1881-11-13;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 354;1 Bl., 8°, 1 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 460 (gekürzt)
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1881-11-14;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch I, 714;;
n;;UN;F. A. Brockhaus Verlag;Eduard Brockhaus;Ferdinand Gregorovius;;Leipzig;München;high;1881-11-16;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus, 4;1 Dbl., 8°, 2 S. (von Schreiberhand m. eigh. Unterschrift u. Nachschrift);
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-11-18;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 238;1 Dbl., 8°, 2 S.;
;;UN;Paul Heyse;;Ferdinand Gregorovius;;München;München;high;1881-11-22;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Heyse, Paul;PK, 1 S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-11-23;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 239;1 Dbl., 8°, 1 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1881-12-01;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 240;1 Bl., 8°, 1 S.;
n;ed_c2y_x2m_14b;ED;Ferdinand Gregorovius;;Gabriella Erhardt;;München;Rom;high;1881-12-02;;;;;;H: Murnau am Staffelsee, Privatbesitz Familie Peter Freude (derzeit nicht nachweisbar);;
n;;UN;F. A. Brockhaus Verlag;Eduard Brockhaus;Ferdinand Gregorovius;;Leipzig;München;high;1881-12-03;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus, 5;1 Dbl., 8°, 3 ¾ S. (von Schreiberhand m. eigh. Unterschrift u. Nachschrift);
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1881-12-04;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 241;1 Dbl., 8°, 1 ½ S.;
;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-12-05;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 242;1 Dbl., 8°, 1 S.;
;;UN;Quintino Sella;;Ferdinand Gregorovius;;Biella;München;high;1881-12-05;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 19, 23a (zur Ernennung zum auswärtigen Mitglied der Regia Lynceorum Accademia und zur Verleihung des bronzenen Zeichens der Akademie, 19.12.1881);Telegamm;
;;UN;Ferdinand Gregorovius;;Quintino Sella;;München;Biella;high;1881-12-05;;;;;;H: Biella, Fondazione Sella, fondo Quintino Sella, Serie Accademia dei Lincei;Telegramm;
n;;UN;F. A. Brockhaus Verlag;;Ferdinand Gregorovius;;Leipzig;München;high;1881-12-06;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus, 6;1 Dbl., 8°, 1 ½ S. (von Schreiberhand m. eigh. Unterschrift);
n;;UN;Ferdinand Gregorovius;;Therese Draeseke;;München;Lugano;high;1881-12-08;;;;;;H: Universitätbibliothek Leipzig, Kurt-Taut-Sammlung, 1/F–G/G/219;PK, 1 S.;
;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-12-09;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 243;1 Dbl., 8°, 1 ¾ S.;
n;;UN;F. A. Brockhaus Verlag;;Ferdinand Gregorovius;;Leipzig;München;high;1881-12-10;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus, 7;1 Dbl., 8°, 2 ¾ S. (von Schreiberhand m. eigh. Unterschrift);
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1881-12-10;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 355;1 Bl., 8°, 2 ¾ S.;
;ed_sfv_5qn_3mb;ED;Ferdinand Gregorovius;;Michele Amari;;München;Rom;high;1881-12-11;;;;;;H: Palermo, Biblioteca Centrale della Regione siciliana, Carteggio Amari, XI, 3903;PK, 1 S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-12-11;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 244;1 Dbl., 8°, 2 ½ S.;
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1881-12-11;;;;;;H: GSA Weimar, 96/937, 60;1 Dbl., 8°, 3 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 128–129 (gekürzt)
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1881-12-12;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch I, 741–742;;
n;ed_dfn_jtf_wnb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Rom;high;1881-12-13;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 2 ¾ S.;
;;UN;Ferdinand Gregorovius;;Paul Lindau;;München;Berlin;high;1881-12-13;;;;;ich habe nur Ihren Brief abgewartet, um Ihnen den Artikel zu schicken, welcher bereit lag.;H: Kotte Autographs (Stand August 2021);1 Bl., 8°, 1 S.;Kotte Autographs (Auszug)
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1881-12-14;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 245 + 246 (Honorarquittung);1 Dbl. (auseinandergerissen), 8°, 1 S. (1r) + ¾ S. (2r);
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1881-12-14;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 356 + 357 (Honorarquittung);1 Dbl. (auseinandergerissen), 8°, 1 S. (1r) + ¾ S. (2r) ;
n;;UN;Michele Amari;;Ferdinand Gregorovius;;Rom;München;high;1881-12-15;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Amari, Michele;1 Dbl., 8°, 2 ¾ S.;
n;abced_q44_kdn_14b;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1881-12-21;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 107–108
n;ed_q44_kdn_14b;ED;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Rom;high;1881-12-21;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 2 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Franz Rühl;;München;Königsberg;high;1881-12-26;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Franz Rühl, S 2606, 53;1 Dbl., 8°, 4 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 460–462
n;;UN;Ferdinand Gregorovius;;Charlotte Boretius;;München;Berlin;high;1881-12-27;;;;;;;;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Mit Briefen an Cotta, Franz Rühl und andere. Stuttgart, Berlin 1921. S. 462
n;;UN;Ferdinand Gregorovius;;Charlotte Klumpp;;München;Meran;high;1881-12-28;;;;;;H: DLA Marbach, Handschriftenabteilung, B: Gregorovius, Ferdinand, 12.104.1;1 Dbl., 8°, 2 ¾ S. – Bl. 2 Unterschrift herausgeschnitten;
n;ed_pcy_vwh_b4b;ED;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1881-12-28;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 247;1 Dbl., 8°, 3 ¼ S.;
;;UN;Ferdinand Gregorovius;;Klara Faltin;;München;Königsberg;high;1881-12-29;;;;;;FH: GhStA Berlin, VI. HA, NL Waldemar Kampf, Karton 88, Mappe 6 (ehemals Privatbesitz Johannes Hönig);1 Dbl., 8°, 3 S.;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 143
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1881-12-29;;;;;;H: GSA Weimar, 96/937, 61;1 Dbl., 8°, 3 ½ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 129–130 (gekürzt)
n;ed_jr2_n3q_xnb;ED;Ferdinand Gregorovius;;Conte Giovanni Gozzadini;;München;Bologna;high;1881-12-29;;;;;;h: Bologna, Biblioteca dell’Archiginnasio, Ms. Gozzadini 442, 39;2 Dbl., 2 ½ S. (1r, 2r, 3r);
;ed_hyc_wj3_35b;ED;Ferdinand Gregorovius;;Cesare Foucard;;München;Modena;high;1881-12-30;;;;;;H: Biblioteca Nazionale Centrale di Firenze, Fondo Foucard;1 Dbl., 8°, 4 S.;
n;ed_fbj_hcj_b4b;ED;Ferdinand Gregorovius;;Alfred von Reumont;;München;Burtscheid;high;1881-12-30;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Reumont, S 1061, 298a;1 Dbl., 8°, 4 S.;
n;G000416;ED;Ferdinand Gregorovius;;Giovanni Battista De Rossi;;Rom;Rom;low;1883-04-07;;;;;pur troppo non sarò questa sera da Lei, causa un pranzo da Keudell;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14270, Carteggio Giovanni Battista De Rossi 1883, fol. 283, Nr. 700;BK, 1 ¼ S.;
n;;UN;Ludwig von Hirschfeld;;Ferdinand Gregorovius;;Konstantinopel;Konstantinopel;high;1882-05-01;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Hirschfeld, Ludwig von;1 Bl., 8°, 1 ½ S.;
;;UN;Conte Giovanni Gozzadini;;Ferdinand Gregorovius;;Bologna;München;high;1882-01-01;;;;;;K: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 19, fasc. 42, 2;1 Dbl., 4°, 2 ¾ S.;
;ed_f1b_y2c_lpb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Rom;high;1882-01-04;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 3 ¾ S.;
n;;UN;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Ferdinand Gregorovius;;Weimar;München;high;1882-01-04;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Sachsen-Weimar, Karl Alexander, 8;1 Dbl., 4°, 1 S. (von Schreiberhand mit eigenh. Unterschrift);
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Rom;high;1882-01-05;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 4 S.;
n;ed_bhr_1m4_r4b;ED;Ferdinand Gregorovius;;Adolf Friedrich Graf von Schack;;München;Palermo;high;1882-01-15;;;;;;H: GhStA Berlin, NL Waldemar Kampf, VI. HA, Karton 88, Mappe 11;1 Dbl., 8°, 4 S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1882-01-20;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch I, 768;;
n;;UN;Levin Schücking;;Ferdinand Gregorovius;;Berlin;München;high;1882-01-23;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Schücking, Levin, 1;1 Dbl., 8°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1882-01-24;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 248;1 Dbl., 8°, 2 ¼ S. ;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1882-01-25;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 249;1 Dbl., 8°, 2 S. ;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1882-01-25;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 358;1 Bl., 8°, 2 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 463
n;;UN;Ferdinand Gregorovius;;Franz Rühl;;München;Königsberg;high;1882-01-26;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Franz Rühl, S 2606, 54;1 Dbl., 8°, 4 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 464–465 (gekürzt)
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1882-01-26;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch I, 773;;
n;;UN;Ferdinand Gregorovius;;Jean Bourdeau;;München;Paris;high;1882-01-27;;;;;;H: BSB München, Autogr., Gregorovius, Ferdinand, 25, 1;1 Dbl., 1 Bl., 8°, 5 ¾ S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1882-01-27;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 250;BK, 1 S.;
;;UN;Ferdinand Gregorovius;;Charlotte Klumpp;;München;Meran;high;1882-01-29;;;;;;H: DLA Marbach, Handschriftenabteilung, B: Gregorovius, Ferdinand, 12.104.1;BK, 2 S.;
n;;UN;Ferdinand Gregorovius;;Conte Giovanni Gozzadini;;München;Bologna;high;1882-01-29;;;;;;h: Bologna, Biblioteca dell’Archiginnasio, Ms. Gozzadini 442, 40;1 Dbl., 2 S. (1r, 2r);
;ed_epm_vbc_s4b;ED;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Rom;high;1882-01-29;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;Ottilie Elgnowski;Charlotte Boretius;;München;Berlin;high;1882-01-29;;;;;;;;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Mit Briefen an Cotta, Franz Rühl und andere. Stuttgart, Berlin 1921. S. 465–466 (ohne die Nachschrift von Ottilie Elgnowski)
n;;UN;Ferdinand Gregorovius;;Paul Heyse;;München;Cannstatt;high;1882-01-31;;;;;;H: BSB München, Heyse-Archiv, VI. Gregorovius, Ferdinand;BK, 2 S.;
;;UN;Conte Giovanni Gozzadini;;Ferdinand Gregorovius;;Bologna;München;high;1882-02-01;;;;;;K: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 19, fasc. 42, 3;1 Bl., 4°, ¾ S.;
;;UN;Timoleon Argyropoulos;;Ferdinand Gregorovius;;Athen;München;high;1882-02-02;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 19, 25 (Begleitschreiben zur Ernennung zum Ehrenmitglied der Literarischen Gesellschaft Parnassos, 2.2.1882);1 Bl., 4°, 1 S.;
n;;UN;Paul Heyse;;Ferdinand Gregorovius;;Cannstatt;München;high;1882-02-01;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Heyse, Paul;1 Dbl., 8°, 2 ¼ S.;
n;ed_jds_jtc_lpb;ED;Ferdinand Gregorovius;;Michele Amari;;München;Rom;high;1882-02-05;;;;;;H: Palermo, Biblioteca Centrale della Regione siciliana, Carteggio Amari, XI, 3904;1 Dbl., 8°, 3 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1882-02-05;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 251;1 Dbl., 8°, 1 ¾ S. ;
n;;UN;Ferdinand Gregorovius;;Conte Giovanni Gozzadini;;München;Bologna;high;1882-02-05;;;;;;h: Bologna, Biblioteca dell’Archiginnasio, Ms. Gozzadini 442, 41;1 Dbl., 1 ½ S. (1r, 2r);
n;ed_r5h_zk5_t4b;ED;Ferdinand Gregorovius;;Paul Heyse;;München;Cannstatt;high;1882-02-05;;;;;;H: BSB München, Heyse-Archiv, VI. Gregorovius, Ferdinand;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1882-02-05;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 359;1 Dbl., 8°, 2 ½ S. ;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 466 (stark gekürzt)
n;;UN;J. G. Cotta’sche Buchhandlung;Carl Freiherr Cotta von Cottendorf;Ferdinand Gregorovius;;Stuttgart;München;high;1882-02-07;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, J. G. Cotta’sche Buchhandlung, 4 (h: DLA Marbach, Cotta-Archiv, Autorencopirbuch I, 785–786);1 Bl., 4°, 1 ½ S.;
;;UN;Conte Giovanni Gozzadini;;Ferdinand Gregorovius;;Bologna;München;high;1882-02-08;;;;;;K: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 19, fasc. 42, 4;1 Dbl., 8°, 1 ¾ S.;
n;ed_etw_tgq_2nb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1882-02-10;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 109–110
n;ed_ord_fql_mpb;ED;Ferdinand Gregorovius;;Conte Giovanni Gozzadini;;München;Bologna;high;1882-02-10;;;;;;h: Bologna, Biblioteca dell’Archiginnasio, Ms. Gozzadini 442, 42;1 Dbl., 2 S. (1r, 2r);
;;UN;Conte Giovanni Gozzadini;;Ferdinand Gregorovius;;Bologna;München;high;1882-02-12;;;;;;K: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 19, fasc. 42, 5;1 Bl., 8°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1882-02-12;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 252;1 Dbl., 8°, 2 ½ S. ;
n;;UN;F. A. Brockhaus Verlag;;Ferdinand Gregorovius;;Leipzig;München;high;1882-02-17;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Brockhaus, 8;1 Dbl., 8°, 4 S. (von Schreiberhand m. eigh. Unterschrift);
